
id,latitude,longitude,demand
94,19.433766,-99.130918,7
95,19.430722,-99.133698,1
96,19.430625,-99.14248,6
97,19.429189,-99.132759,8
98,19.430267,-99.14861,9
99,19.42995,-99.14591,5
100,19.428485,-99.1338,3
101,19.428366,-99.135895,8
102,19.42821,-99.13949,4
103,19.441669,-99.165217,4
104,19.427059,-99.137116,10
105,19.426755,-99.135014,4
106,19.42649,-99.133537,7
107,19.427329,-99.149971,1
108,19.427305,-99.149533,10
109,19.425311,-99.137421,9
110,19.42513,-99.14339,3
111,19.438371,-99.166474,4
112,19.432819,-99.151734,4
113,19.430369,-99.154419,9
114,19.428989,-99.153618,4
115,19.429947,-99.159698,10
116,19.428985,-99.15664,10
117,19.427132,-99.160369,4
118,19.427114,-99.158251,4
119,19.42679,-99.15554,8
120,19.425437,-99.159458,2
121,19.424137,-99.161317,8
122,19.425502,-99.146337,3
123,19.424161,-99.153117,10
124,19.422392,-99.150358,5
125,19.424541,-99.156204,3
126,19.422288,-99.162138,6
127,19.423318,-99.15833,9
128,19.422148,-99.160645,3
129,19.4206,-99.163312,10
130,19.421576,-99.158015,6
131,19.419579,-99.161314,9
132,19.420667,-99.15645,1
133,19.421138,-99.154725,1
134,19.418304,-99.15956,8
135,19.419225,-99.155099,4
136,19.417715,-99.162729,4
137,19.418774,-99.157081,4
138,19.417702,-99.155313,4
139,19.416128,-99.162097,4
140,19.416605,-99.156853,8
141,19.415905,-99.15954,1
142,19.413232,-99.164121,4
143,19.414303,-99.157542,8
144,19.415192,-99.154837,8
145,19.41286,-99.160661,5
146,19.410737,-99.165716,7
147,19.412182,-99.158443,7
148,19.412829,-99.155116,3
149,19.41199,-99.155699,9
150,19.409965,-99.164292,6
151,19.410529,-99.160873,6
152,19.409098,-99.167181,8
153,19.407468,-99.165141,8
154,19.406683,-99.167962,7
155,19.408218,-99.159911,3
156,19.407121,-99.162202,10
157,19.406236,-99.166616,7
158,19.407447,-99.155717,7
159,19.407517,-99.155373,7
160,19.44025,-99.16346,4
161,19.405533,-99.164913,4
162,19.404907,-99.162485,5
163,19.405246,-99.156431,4
164,19.403204,-99.16596,5
165,19.404268,-99.160503,6
166,19.406069,-99.183549,9
167,19.404651,-99.179375,2
168,19.403997,-99.1776,8
169,19.403019,-99.174934,7
170,19.404029,-99.184342,4
171,19.402584,-99.178199,4
172,19.403365,-99.181553,6
173,19.401682,-99.176398,3
174,19.44111,-99.16164,10
175,19.400806,-99.172645,6
176,19.442689,-99.152286,1
177,19.408841,-99.181692,10
178,19.406833,-99.180457,5
179,19.404452,-99.171438,3
180,19.404554,-99.169953,6
181,19.404976,-99.175095,6
182,19.402089,-99.17139,3
183,19.43767,-99.16402,5
184,19.41479,-99.18508,10
185,19.4128,-99.1828,1
186,19.41249,-99.18875,5
187,19.41123,-99.18551,4
188,19.41171,-99.19014,2
189,19.41004,-99.18798,9
190,19.409569,-99.183833,2
191,19.4079,-99.18795,6
192,19.42592,-99.190755,2
193,19.425907,-99.190733,4
194,19.424282,-99.180334,4
195,19.424926,-99.185147,4
196,19.438349,-99.192904,3
197,19.440077,-99.204316,4
198,19.438168,-99.203888,5
199,19.437934,-99.197241,4
200,19.437596,-99.188785,1
201,19.437431,-99.187215,2
202,19.43617,-99.198943,1
203,19.435985,-99.194832,7
204,19.435882,-99.19152,6
205,19.435525,-99.184713,5
206,19.435798,-99.201419,8
207,19.434861,-99.183322,2
208,19.434182,-99.189835,7
209,19.435478,-99.206359,10
210,19.434076,-99.194091,9
211,19.433607,-99.188528,6
212,19.433567,-99.188096,1
213,19.435197,-99.206967,10
214,19.434353,-99.20322,5
215,19.43384,-99.19968,5
216,19.433419,-99.195746,9
217,19.432888,-99.183605,1
218,19.432451,-99.188033,1
219,19.433542,-99.207808,3
220,19.432655,-99.205727,2
221,19.431799,-99.201565,10
222,19.431417,-99.195774,7
223,19.431242,-99.191613,1
224,19.431255,-99.188065,9
225,19.431172,-99.185612,9
226,19.431033,-99.18222,2
227,19.431791,-99.207373,1
228,19.427705,-99.19912,7
229,19.430515,-99.203331,6
230,19.430098,-99.200074,5
231,19.42977,-99.19349,1
232,19.42894,-99.185389,9
233,19.429314,-99.196965,5
234,19.42783,-99.191539,7
235,19.42933,-99.20218,10
236,19.42944,-99.20243,1
237,19.426744,-99.193986,5
238,19.426765,-99.193752,5
239,19.430153,-99.181355,10
240,19.43855,-99.2063,2
241,19.43862,-99.20758,6
242,19.440344,-99.20105,1
243,19.440839,-99.196712,2
244,19.440885,-99.193315,1
245,19.438165,-99.190368,5
246,19.434147,-99.179835,5
247,19.432102,-99.180565,8
248,19.43175,-99.177399,8
249,19.429877,-99.177569,8
250,19.429057,-99.17966,2
251,19.429261,-99.17538,5
252,19.427575,-99.17702,1
253,19.425835,-99.177924,9
254,19.43935,-99.16007,4
255,19.437159,-99.161808,10
256,19.4372,-99.15816,8
257,19.4338,-99.16622,10
258,19.4167,-99.1791,6
259,19.43757,-99.15468,7
260,19.435354,-99.147742,9
261,19.423704,-99.175196,7
262,19.43693,-99.13395,5
263,19.436274,-99.158425,3
264,19.440985,-99.152935,10
265,19.440839,-99.152265,8
266,19.444031,-99.152187,10
267,19.443735,-99.152203,2
268,19.442448,-99.151586,3
269,19.442467,-99.151658,6
270,19.43676,-99.15387,4
271,19.442689,-99.152465,8
272,19.443467,-99.152491,6
273,19.442707,-99.152956,9
274,19.442772,-99.153289,1
275,19.441062,-99.153164,1
276,19.401986,-99.156366,1
277,19.401807,-99.15909,9
278,19.40071,-99.163831,7
279,19.399908,-99.166553,9
280,19.4015,-99.156406,3
281,19.398532,-99.157308,6
282,19.398692,-99.161273,1
283,19.39827,-99.167383,6
284,19.397693,-99.172981,10
285,19.399688,-99.177524,2
286,19.399201,-99.179943,4
287,19.398946,-99.183254,6
288,19.396333,-99.183575,1
289,19.397308,-99.174548,1
290,19.396333,-99.172667,9
291,19.397651,-99.169946,9
292,19.396917,-99.166264,3
293,19.397373,-99.164598,9
294,19.396513,-99.160924,10
295,19.396328,-99.156871,4
296,19.394283,-99.158756,3
297,19.394412,-99.158907,9
298,19.394073,-99.16214,9
299,19.394601,-99.165054,3
300,19.393268,-99.168333,9
301,19.393807,-99.171133,3
302,19.393832,-99.171466,8
303,19.394842,-99.173025,3
304,19.395043,-99.173821,1
305,19.394693,-99.175531,2
306,19.393699,-99.175664,9
307,19.393701,-99.175834,8
308,19.393594,-99.178072,1
309,19.393162,-99.17956,2
310,19.395319,-99.181733,10
311,19.393665,-99.185391,4
312,19.392634,-99.183737,1
313,19.391431,-99.178989,8
314,19.391647,-99.177331,5
315,19.391472,-99.1736,9
316,19.391056,-99.1712,8
317,19.391456,-99.166157,1
318,19.392249,-99.164127,9
319,19.391991,-99.162684,7
320,19.391323,-99.15936,7
321,19.389477,-99.157513,8
322,19.388528,-99.160616,10
323,19.389026,-99.163403,7
324,19.3872468,-99.1656554,9
325,19.3881779,-99.1696894,2
326,19.388978,-99.174811,3
327,19.38885,-99.17772,5
328,19.392586,-99.184742,8
329,19.390306,-99.184812,5
330,19.389358,-99.182606,3
331,19.388547,-99.183971,9
332,19.385508,-99.183809,1
333,19.387624,-99.180978,4
334,19.386568,-99.175089,5
335,19.387003,-99.173504,4
336,19.385531,-99.169673,2
337,19.384849,-99.16704,6
338,19.384249,-99.163273,9
339,19.386032,-99.160548,9
340,19.385571,-99.158188,9
341,19.382851,-99.158204,4
342,19.381076,-99.159455,4
343,19.384099,-99.160826,6
344,19.382107,-99.162243,8
345,19.384498,-99.172223,6
346,19.385019,-99.174077,2
347,19.384378,-99.176097,1
348,19.385365,-99.178216,8
349,19.385688,-99.180857,7
350,19.384062,-99.181482,1
351,19.385751,-99.186297,8
352,19.384114,-99.185447,4
353,19.382168,-99.178808,8
354,19.381665,-99.176685,2
355,19.38205,-99.173291,8
356,19.381292,-99.170171,6
357,19.380598,-99.1669248,6
358,19.380168,-99.164222,2
359,19.379269,-99.161169,10
360,19.3790279,-99.1628259,10
361,19.3804457,-99.1762233,7
362,19.382207,-99.181043,10
363,19.380813,-99.183851,5
364,19.383063,-99.185858,2
365,19.381117,-99.186687,2
366,19.378345,-99.181973,1
367,19.37946,-99.181632,2
368,19.379246,-99.179344,5
369,19.379884,-99.177478,1
370,19.378818,-99.177054,5
371,19.378542,-99.174328,6
372,19.37797,-99.170289,10
373,19.377968,-99.166663,2
374,19.376964,-99.161116,7
375,19.376865,-99.158818,8
376,19.375442,-99.161595,10
377,19.375394,-99.16375,6
378,19.375823,-99.168076,10
379,19.375751,-99.17084,7
380,19.374876,-99.173512,9
381,19.375541,-99.177894,4
382,19.375591,-99.178084,1
383,19.375764,-99.181527,7
384,19.375873,-99.185583,5
385,19.375651,-99.18558,1
386,19.37484,-99.185846,8
387,19.37455556,-99.18050556,10
388,19.373038,-99.181355,1
389,19.373528,-99.179356,3
390,19.373228,-99.17826,3
391,19.373142,-99.178283,5
392,19.3730067,-99.1747749,1
393,19.372796,-99.172558,9
394,19.372437,-99.171592,8
395,19.373742,-99.169814,2
396,19.371554,-99.170187,9
397,19.373194,-99.167247,6
398,19.37103,-99.16566,6
399,19.372407,-99.164519,10
400,19.3726458,-99.1642743,6
401,19.372147,-99.16158,9
402,19.3709452,-99.1587223,3
403,19.371371,-99.158639,3
404,19.373813,-99.157387,3
405,19.370619,-99.156626,3
406,19.367831,-99.163261,2
407,19.367294,-99.158694,4
408,19.36677,-99.156843,8
409,19.365102,-99.155499,8
410,19.36564,-99.158063,3
411,19.367864,-99.163626,7
412,19.3684182,-99.1654145,8
413,19.369782,-99.171906,5
414,19.370187,-99.173712,7
415,19.371498,-99.17602,2
416,19.371308,-99.177607,1
417,19.373262,-99.184333,9
418,19.371152,-99.183034,5
419,19.370606,-99.181502,7
420,19.369723,-99.17964,2
421,19.369467,-99.179401,1
422,19.368356,-99.177487,6
423,19.367631,-99.175342,7
424,19.367208,-99.170531,10
425,19.367087,-99.16741,7
426,19.365519,-99.166017,4
427,19.365023,-99.162993,2
428,19.363418,-99.160353,7
429,19.363071,-99.158292,8
430,19.362139,-99.154974,1
431,19.36145,-99.15822,3
432,19.361296,-99.162581,1
433,19.363558,-99.170819,9
434,19.363776,-99.171498,8
435,19.365154,-99.172906,9
436,19.366217,-99.177819,9
437,19.36480833,-99.17602222,9
438,19.36479722,-99.17458333,3
439,19.36218889,-99.17246667,9
440,19.36065,-99.168669,3
441,19.361215,-99.167527,1
442,19.359905,-99.1653,8
443,19.359655,-99.162025,5
444,19.359384,-99.159425,6
445,19.35827,-99.156105,1
446,19.3591196,-99.1561282,8
447,19.418858,-99.176776,1
448,19.426611,-99.14447,6
449,19.42018,-99.174393,9
450,19.43836,-99.152226,1
451,19.42902,-99.201322,1
452,19.435031,-99.179838,5
